name,rmsd_start,rmsd_end,plddt,ptm,rmsd_constraint,langevin,single_state_plddt,single_state_rmsd,curvature_mean,curvature_max,U,-PLL
5KPE_2_2_1_id4,1.67762291431427,1.0826761722564697,90.58601851851851,0.79,2,2,92.57675925925923,0.5640325546264648,20.498295,71.06506,-222.67221069335935,2.4567927607783564
5KPE_2_2_1_id5,1.3044341802597046,1.3684648275375366,89.49638888888887,0.78,2,2,92.57675925925923,0.5640325546264648,20.498295,71.06506,-224.70542907714844,2.5226301970305265
5KPE_2_2_1_id6,1.6843948364257812,1.0559049844741821,92.0027777777778,0.8,2,2,92.57675925925923,0.5640325546264648,20.498295,71.06506,-222.8725128173828,2.5111462628399885
5KPE_2_2_1_id7,1.2546626329421997,1.3876659870147705,89.68870370370371,0.74,2,2,92.57675925925923,0.5640325546264648,20.498295,71.06506,-224.2385406494141,2.510789094147859
5KPE_2_2_1_id8,1.113149881362915,1.6014829874038696,93.52750000000002,0.83,2,2,92.57675925925923,0.5640325546264648,20.498295,71.06506,-227.90174865722656,2.4586543330439814
5KPE_2_2_1_id9,1.1277410984039307,1.1896682977676392,89.19546296296299,0.74,2,2,92.57675925925923,0.5640325546264648,20.498295,71.06506,-223.44970703125,2.5395866676613137
5KPE_2_2_2_id0,1.5399842262268066,1.0034301280975342,90.81092592592591,0.78,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-227.3432159423828,2.722511856644242
5KPE_2_2_2_id1,1.2647303342819214,1.2580639123916626,88.89425925925927,0.72,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-226.84710693359372,2.579154403121383
5KPE_2_2_2_id10,1.0862019062042236,1.2246239185333252,91.70685185185184,0.79,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-226.42626953125,2.6121758355034723
5KPE_2_2_2_id11,1.5817219018936157,1.1558403968811035,94.45305555555554,0.84,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-224.5270538330078,3.023842140480324
5KPE_2_2_2_id12,1.3919575214385986,1.2444416284561157,91.32712962962964,0.8,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-225.0825958251953,2.6285569932725696
5KPE_2_2_2_id13,1.5391318798065186,1.1997572183609009,95.00851851851854,0.87,2,2,92.89212962962964,0.7510219216346741,20.760426,71.897865,-226.9680633544922,2.499901948151765
