name,seed,model,plddt,ptm,rmsd_start,rmsd_end
5KPE_4_6_8_0_combined_id1,44,1,84.73268518518518,0.74,2.0459020137786865,2.828104257583618
5KPH_2_8_9_0_combined_id23,43,1,92.4975,0.73,2.6157732009887695,1.0091280937194824
5KPE_2_6_8_0_combined_id22,42,3,83.43842592592591,0.7,11.501181602478027,10.883980751037598
5KPE_2_6_5_0_combined_id17,44,4,87.12953703703704,0.7,1.188058853149414,1.5977299213409424
5KPE_2_4_7_0_combined_id7,42,3,71.85527777777777,0.55,7.183496952056885,8.055438041687012
5KPH_2_4_5_0_combined_id24,44,3,94.17166666666668,0.8,0.6258441209793091,2.059497356414795
5KPE_2_8_2_0_combined_id22,42,3,68.43666666666667,0.54,10.487970352172852,11.403155326843262
5KPE_6_4_6_0_combined_id23,44,5,74.8125925925926,0.53,11.835149765014648,11.522199630737305
5KPH_4_2_7_0_combined_id21,42,4,93.5026388888889,0.8,0.5942106246948242,3.9492201805114746
5KPE_4_6_3_0_combined_id15,42,3,81.61527777777779,0.66,2.389089345932007,4.074077606201172
5KPH_2_6_2_0_combined_id3,43,2,95.38402777777776,0.81,0.6213833689689636,2.2096917629241943
5KPE_2_4_6_0_combined_id11,43,4,88.32231481481479,0.75,1.0523353815078735,1.5601909160614014
5KPH_8_8_0_0_combined_id23,43,4,89.59652777777778,0.71,1.5365447998046875,7.377536773681641
5KPE_2_2_3_0_combined_id14,42,4,86.72324074074076,0.75,1.8186215162277222,0.9366881251335144
5KPE_2_8_0_0_combined_id22,43,4,90.43925925925927,0.78,1.248044490814209,1.7299730777740479
5KPH_4_4_2_0_combined_id24,42,3,95.09305555555557,0.81,0.736809492111206,4.086791515350342
5KPH_2_2_9_0_combined_id24,44,3,94.48097222222222,0.8,0.6211099028587341,1.8602911233901978
5KPE_2_2_1_0_combined_id21,42,5,93.77027777777778,0.84,1.382796049118042,1.006880283355713
5KPE_4_2_3_0_combined_id22,43,5,71.37675925925926,0.58,11.00419807434082,11.334378242492676
5KPE_2_8_1_0_combined_id15,42,4,56.96749999999999,0.41,13.065754890441895,13.294374465942383
5KPH_2_4_7_0_combined_id16,43,1,93.74069444444444,0.77,1.289539098739624,1.5659537315368652
5KPH_2_4_2_0_combined_id7,44,1,90.8475,0.73,0.6606102585792542,1.6105257272720337
5KPE_2_6_7_0_combined_id15,43,3,91.69342592592592,0.78,1.2596639394760132,1.8528316020965576
5KPE_4_6_8_0_combined_id16,42,5,67.60083333333334,0.48,8.79104995727539,7.557754993438721
5KPE_4_6_7_0_combined_id3,42,5,67.90518518518519,0.55,9.629383087158203,10.859784126281738
5KPH_4_6_8_0_combined_id11,43,3,88.72722222222222,0.68,1.123759150505066,3.2614123821258545
5KPE_4_4_8_0_combined_id13,42,2,82.75287037037036,0.69,1.4614145755767822,3.647627115249634
5KPE_2_6_8_0_combined_id5,43,1,91.98351851851852,0.78,1.1771773099899292,1.558241844177246
5KPE_6_2_0_0_combined_id23,42,1,76.31064814814816,0.56,15.832084655761719,13.64211368560791
5KPH_6_2_8_0_combined_id21,44,3,80.81875,0.63,2.0146665573120117,4.9446702003479
5KPE_4_6_0_0_combined_id17,44,1,86.25953703703705,0.69,1.493349552154541,3.6961910724639893
5KPH_2_2_9_0_combined_id9,42,2,91.94430555555556,0.78,0.6625364422798157,1.8196791410446167
5KPH_6_2_5_0_combined_id5,44,3,86.74319444444444,0.68,2.8999524116516113,4.521195411682129
5KPE_4_6_5_0_combined_id7,43,4,77.4497222222222,0.64,10.062234878540039,11.36137866973877
5KPE_4_2_2_0_combined_id18,43,3,84.78592592592592,0.68,1.804310917854309,2.7143735885620117
5KPE_4_8_2_0_combined_id17,43,3,87.7448148148148,0.73,1.640639305114746,3.457639694213867
5KPE_2_4_8_0_combined_id1,42,1,73.00657407407407,0.7,2.337101936340332,2.119403123855591
5KPH_2_2_1_0_combined_id19,42,5,90.89055555555557,0.73,0.8238341808319092,2.0999934673309326
5KPH_2_8_4_0_combined_id16,42,3,92.24347222222222,0.76,0.5661431550979614,1.9191906452178955
5KPE_4_6_3_0_combined_id23,43,4,89.01546296296294,0.79,1.8298388719558716,3.2391109466552734
5KPE_2_8_5_0_combined_id1,43,1,70.63388888888889,0.56,11.31330680847168,11.377670288085938
5KPH_2_2_1_0_combined_id5,42,4,92.02194444444444,0.76,0.6792097091674805,1.9735660552978516
5KPE_2_8_0_0_combined_id3,44,2,67.3436111111111,0.57,10.733635902404785,11.195255279541016
5KPH_6_6_8_0_combined_id15,42,1,90.72666666666666,0.74,0.895630955696106,6.155326843261719
5KPE_2_8_6_0_combined_id23,42,2,79.86592592592594,0.61,11.0047025680542,10.658677101135254
5KPH_8_8_9_0_combined_id20,42,2,85.19041666666666,0.69,1.1569747924804688,7.99771785736084
5KPE_2_4_3_0_combined_id9,42,4,88.54083333333335,0.74,1.3121474981307983,1.9557807445526123
5KPE_2_4_0_0_combined_id8,43,4,88.07981481481482,0.73,1.2350754737854004,1.3010252714157104
5KPH_4_2_8_0_combined_id23,44,3,91.67541666666668,0.77,1.3400901556015015,3.0761520862579346
5KPH_4_6_7_0_combined_id5,42,5,91.21944444444443,0.71,0.8795447945594788,4.343873977661133
5KPE_6_4_7_0_combined_id9,42,4,68.09018518518519,0.55,10.537647247314453,12.922164916992188
5KPH_2_6_4_0_combined_id19,44,2,95.23736111111111,0.81,0.5774332880973816,2.097059488296509
5KPH_2_4_0_0_combined_id19,43,4,93.75,0.79,0.4911896288394928,2.0265705585479736
5KPE_4_6_2_0_combined_id24,43,2,87.15472222222219,0.73,1.2452722787857056,3.528256416320801
5KPE_4_8_4_0_combined_id4,42,3,88.67509259259258,0.77,1.832089900970459,2.9203155040740967
5KPH_4_4_2_0_combined_id17,43,2,88.98805555555555,0.71,1.259667992591858,2.9100186824798584
5KPE_4_2_3_0_combined_id13,44,2,68.95851851851852,0.57,9.558290481567383,9.716517448425293
5KPH_2_8_7_0_combined_id5,43,4,94.40333333333334,0.81,0.6562520861625671,1.9368332624435425
5KPE_2_2_8_0_combined_id23,43,1,91.34490740740742,0.81,1.3640936613082886,1.2248423099517822
5KPH_2_8_6_0_combined_id23,43,5,92.18708333333332,0.73,2.490967035293579,0.8895155191421509
5KPH_2_6_1_0_combined_id17,44,3,90.4851388888889,0.71,0.6607865691184998,2.060864210128784
5KPE_4_2_6_0_combined_id5,43,2,64.485,0.51,9.7991943359375,10.596149444580078
5KPH_4_6_0_0_combined_id8,44,2,83.90902777777778,0.65,1.4454426765441895,2.9845221042633057
5KPE_4_8_5_0_combined_id17,44,3,76.5925925925926,0.59,2.969453811645508,3.0596466064453125
5KPE_4_6_1_0_combined_id15,42,2,71.33037037037036,0.6,9.930622100830078,10.948750495910645
